symbol	ensembl
FGFR3P1	
SLC14A2	ENSG00000132874
GPR6	ENSG00000146360
TAPBP	
BCHEL1	
ELP5	
FEN1	ENSG00000168496
GGT3P	ENSG00000197421
GPC5	ENSG00000179399
ERV3-1	ENSG00000213462
TEX10	ENSG00000136891
TSC22D3	ENSG00000157514
KCNN1	ENSG00000105642
ELAVL1	ENSG00000066044
INPPL1	ENSG00000165458
DST	ENSG00000151914
ARCN2	
SP3	ENSG00000172845
HCL2	
PRIMPOL	ENSG00000164306
ITGB2	ENSG00000160255
NAN	
DEFA5	
SLC2A5	ENSG00000142583
EGI	
NDUFB6	ENSG00000165264
SLC6A3	
FRA4C	
ATP1B2	ENSG00000129244
FRA9B	
ACSL3	ENSG00000123983
SLC26A2	ENSG00000155850
ALG10	ENSG00000139133
TRX-CAT1-2	
ETV6	ENSG00000139083
SOCS6	ENSG00000170677
PTH1R	ENSG00000160801
NTRK1	ENSG00000198400
PROKR1	ENSG00000169618
MAN2C1	ENSG00000140400
PTPRM	ENSG00000173482
BCL2	ENSG00000171791
BIRC7	ENSG00000101197
MAPK13	ENSG00000156711
TTN	ENSG00000155657
POLR1G	ENSG00000117877
KAT2A	ENSG00000108773
IDH1	ENSG00000138413
GPRC5D	ENSG00000111291
PTPN5	ENSG00000110786
PAX8	ENSG00000125618
PYY	ENSG00000131096
EPHA5	ENSG00000145242
HDAC2	ENSG00000196591
IL7	ENSG00000104432
PLIN1	ENSG00000166819
RUNDC3B	ENSG00000105784
NPIPB8	ENSG00000255524
NDUFC1	ENSG00000109390
KCNF1	ENSG00000162975
RPL32	ENSG00000144713
RPLP0	ENSG00000089157
RASA1	ENSG00000145715
PIK3R5	ENSG00000141506
NDUFA12	ENSG00000184752
DPP4	ENSG00000197635
IGHE	ENSG00000211891
ACTG1P2	
AKR1C3	ENSG00000196139
LDHA	
FSCN1	ENSG00000075618
MIR1912	ENSG00000222321
PLIN3	ENSG00000105355
ESB3	
RPL17	ENSG00000265681
PTHLH	ENSG00000087494
BLK	
EBR3	
CALU	ENSG00000128595
ANKS1B	ENSG00000185046
RPS16	ENSG00000105193
FCGR3A	ENSG00000203747
MFGE8	ENSG00000140545
RPS20	ENSG00000008988
PLA2G1B	ENSG00000170890
GNB3	ENSG00000111664
OVGP1	ENSG00000085465
HIVEP1	ENSG00000095951
ITGB5	ENSG00000082781
CSTF1	ENSG00000101138
PIK3R1	ENSG00000145675
RAMP1	ENSG00000132329
ERAP1	ENSG00000164307
NDUFS4	ENSG00000164258
CXCL10	ENSG00000169245
GLIPR1	ENSG00000139278
CSN1S1	ENSG00000126545
TRPC1	ENSG00000144935
AKR1A1	ENSG00000117448
CCHCR1	
FRA15A	
PLCD3	ENSG00000161714
KCNA1	ENSG00000111262
EPO	ENSG00000130427
PDE1C	ENSG00000154678
LHCGR	ENSG00000138039
WNT7A	ENSG00000154764
KCNA2	ENSG00000177301
MIR4268	ENSG00000266518
ARL3	ENSG00000138175
GLS	ENSG00000115419
VASP	ENSG00000125753
EN2	ENSG00000164778
COL13A1	ENSG00000197467
ELANE	
ALDRL2	
XBP1	ENSG00000100219
MYCN	ENSG00000134323
FGF7	ENSG00000140285
PECAM1	ENSG00000261371
EIF5	ENSG00000100664
PPA2	ENSG00000138777
APH1B	ENSG00000138613
F8	ENSG00000185010
COL9A3	ENSG00000092758
CRABP1	ENSG00000166426
DCR	
LPAR3	ENSG00000171517
CAPN2	ENSG00000162909
PLG	ENSG00000122194
HBA1	ENSG00000206172
MEX3C	ENSG00000176624
ALDH7A1P4	
SGSH	ENSG00000181523
ULK3	ENSG00000140474
PRNP	ENSG00000171867
NTNG1	ENSG00000162631
RNASEH2A	ENSG00000104889
PTPN4	ENSG00000088179
TYRP1	ENSG00000107165
ZHX2	ENSG00000178764
GALK1	ENSG00000108479
CD52	ENSG00000169442
SCN10A	ENSG00000185313
CTSD	ENSG00000117984
IFNW1	ENSG00000177047
NPTXR	ENSG00000221890
HTR2B	ENSG00000135914
MASP2	ENSG00000009724
FRA2F	
BCL2L1	ENSG00000171552
MAML3	ENSG00000196782
EIF4H	ENSG00000106682
DLX6	ENSG00000006377
HOXC6	ENSG00000197757
GRID2	ENSG00000152208
KL	ENSG00000133116
CHST3	ENSG00000122863
P2RY10	ENSG00000078589
PIK3C2G	ENSG00000139144
CCNK	ENSG00000090061
CASP8	ENSG00000064012
FRA16C	
ERICH3	ENSG00000178965
ENOSF1	ENSG00000132199
PNPT1	ENSG00000138035
FANCG	ENSG00000221829
PSMF1	ENSG00000125818
FGF19	ENSG00000162344
HOXD11	ENSG00000128713
FASN	ENSG00000169710
DLG2	ENSG00000150672
RPS6KA5	ENSG00000100784
FOLR2L	
BMP2	ENSG00000125845
PDE9A	ENSG00000160191
GRM4	ENSG00000124493
CNGA1	ENSG00000198515
SLC28A2	ENSG00000137860
SIRT1	ENSG00000096717
HOXB@	
CACNB2	ENSG00000165995
MCR	
RORA	ENSG00000069667
PLA2G2A	ENSG00000188257
CACNA1G	ENSG00000006283
IFNG	ENSG00000111537
STOM	ENSG00000148175
CD3G	ENSG00000160654
ABCA2	ENSG00000107331
CLEC4C	ENSG00000198178
PPIG	ENSG00000138398
ABCB4	ENSG00000005471
GPC3	ENSG00000147257
SDC2	ENSG00000169439
CSRNP3	ENSG00000178662
MT2A	ENSG00000125148
CA13	ENSG00000185015
DAZL	ENSG00000092345
P4HA1	ENSG00000122884
NELFCD	ENSG00000101158
H3C2	ENSG00000286522
VPS35	ENSG00000069329
MIR2054	ENSG00000283550
PDE5A	ENSG00000138735
KAT5	ENSG00000172977
FRA6E	
APOA4	ENSG00000110244
IL17B	ENSG00000127743
GYPC	ENSG00000136732
CBL	ENSG00000110395
MPI	ENSG00000178802
TAAR6	ENSG00000146383
DOCK2	ENSG00000134516
IL37	ENSG00000125571
PPM1A	ENSG00000100614
BCL6	ENSG00000113916
ITIH3	ENSG00000162267
ST13	ENSG00000100380
GHR	ENSG00000112964
PAPLN	ENSG00000100767
FCGR2B	ENSG00000072694
LPAR2	ENSG00000064547
PSCA	ENSG00000167653
MAP3K13	ENSG00000073803
POSTN	ENSG00000133110
NEDD4	ENSG00000069869
OPRL1	
HNRNPC	ENSG00000092199
C6	ENSG00000039537
NPY4R	ENSG00000204174
CXCL12	ENSG00000107562
LPAR1	ENSG00000198121
CYP7B1	ENSG00000172817
NPC1	ENSG00000141458
PIP4K2A	ENSG00000150867
RPS8	ENSG00000142937
GRB7	ENSG00000141738
SIK2	ENSG00000170145
DHFR	ENSG00000228716
LIPC	ENSG00000166035
CRYZ	ENSG00000116791
ROR2	ENSG00000169071
GABRE	ENSG00000102287
NEDD4L	ENSG00000049759
KMT2E	ENSG00000005483
NDUFB7	ENSG00000099795
FZD6	ENSG00000164930
CA3	ENSG00000164879
ANTP2	
GRK5	ENSG00000198873
PPT1	ENSG00000131238
TH	ENSG00000180176
HTR5A	ENSG00000157219
CYP46A1	ENSG00000036530
TUT7	ENSG00000083223
PBRM1	ENSG00000163939
KDR	ENSG00000128052
ITPR1	ENSG00000150995
KCNN2	ENSG00000080709
RPL28	ENSG00000108107
SLC17A3	ENSG00000124564
FECH	ENSG00000066926
DRP2	ENSG00000102385
SRSF2	ENSG00000161547
SV2B	ENSG00000185518
TLR7	ENSG00000196664
HSPA1L	
ZSCAN25	ENSG00000197037
PRKCZ	ENSG00000067606
MYL2	ENSG00000111245
APBB2	ENSG00000163697
MROH2A	ENSG00000185038
SLC25A3	ENSG00000075415
IL6R	ENSG00000160712
SLCO3A1	ENSG00000176463
ADAMTSL2	ENSG00000197859
GTF3C2	ENSG00000115207
PDYN	ENSG00000101327
SLC25A6	
PEAR1	ENSG00000187800
MT1E	ENSG00000169715
PRKCQ	ENSG00000065675
FGF14	ENSG00000102466
UHRF1	ENSG00000276043
SFRP5	ENSG00000120057
MRPL47	ENSG00000136522
PALB2	ENSG00000083093
F2RL2	ENSG00000164220
GAD2	ENSG00000136750
ATP6V1B2	ENSG00000147416
ASL	ENSG00000126522
SEMA6A	ENSG00000092421
BGLAP	ENSG00000242252
CD68	ENSG00000129226
TYMS	ENSG00000176890
ERPL2	
SENP8	ENSG00000166192
DGAT2	ENSG00000062282
ADAMTS4	ENSG00000158859
OPN4	ENSG00000122375
CNGA2	ENSG00000183862
RAB27A	ENSG00000069974
MAPKAPK2	ENSG00000162889
TXN	ENSG00000136810
USP9Y	ENSG00000114374
RIPOR2	ENSG00000111913
IL9	ENSG00000145839
KCNH1	ENSG00000143473
SORT1	ENSG00000134243
DLX4	ENSG00000108813
EVC	ENSG00000072840
GP6	
PSMD9	ENSG00000110801
GALC	ENSG00000054983
CCNA2	ENSG00000145386
GZMM	ENSG00000197540
HOXD8	ENSG00000175879
GLB1	ENSG00000170266
CXCR3	ENSG00000186810
GAA	
NR2F2	ENSG00000185551
APOH	ENSG00000091583
BLM	ENSG00000197299
AP2B1	ENSG00000006125
PSMC6	ENSG00000100519
DKK1	ENSG00000107984
IL1RL2	ENSG00000115598
PRKCE	ENSG00000171132
SPIDR	ENSG00000164808
HPD	ENSG00000158104
NELL1	ENSG00000165973
CRYGB	ENSG00000182187
ROCK1	ENSG00000067900
AGBL4	ENSG00000186094
KCNA3	ENSG00000177272
KCNS3	ENSG00000170745
HRH2	ENSG00000113749
FGF13	ENSG00000129682
GABRD	ENSG00000187730
PIGF	ENSG00000151665
SLC15A3	ENSG00000110446
ACVR1B	ENSG00000135503
MYH7B	ENSG00000078814
ABCC6	
PFKFB3	ENSG00000170525
BMP10	ENSG00000163217
MAP3K12	ENSG00000139625
NCOA2	ENSG00000140396
GLC1C	
FSHB	ENSG00000131808
ADAMTS10	ENSG00000142303
HLA-DRB5	ENSG00000198502
IDH2	ENSG00000182054
ABCC3	ENSG00000108846
KCNIP1	ENSG00000182132
PPP3R2	ENSG00000188386
FXR2	ENSG00000129245
KEAP1	ENSG00000079999
FRA6A	
CDC42BPA	ENSG00000143776
DMD	ENSG00000198947
AMY1A	ENSG00000237763
CSMD1	ENSG00000183117
KIF11	ENSG00000138160
HIF1A	ENSG00000100644
SMN1	
KCNK9	ENSG00000169427
KCNT1	ENSG00000107147
GNG4	ENSG00000168243
DOK5	ENSG00000101134
GMPS	ENSG00000163655
MT-ND1	ENSG00000198888
ILK	ENSG00000166333
POU5F1	
NRG3	ENSG00000185737
FGFR1OP2	ENSG00000111790
NUP107	ENSG00000111581
C1QC	ENSG00000159189
TBC1D32	ENSG00000146350
MSH6	ENSG00000116062
AP1B1	ENSG00000100280
CTAG1B	ENSG00000184033
FRA8C	
KMO	ENSG00000117009
CST5	ENSG00000170367
TGFA	ENSG00000163235
CST2	ENSG00000170369
S1PR2	ENSG00000267534
QPCT	ENSG00000115828
KCNMB2	
BRS3	ENSG00000102239
UNC13D	ENSG00000092929
HLA-DPA1	
CORD4	
HMGCS2	ENSG00000134240
PYROXD2	ENSG00000119943
GABBR2	ENSG00000136928
DDR2	ENSG00000162733
VIPR2	ENSG00000106018
NBEAP1	
SSTR2	ENSG00000180616
CYP2F1	ENSG00000197446
KISS1R	ENSG00000116014
ROR1	ENSG00000185483
EXO1	ENSG00000174371
ZMPSTE24	ENSG00000084073
APP	ENSG00000142192
DHCR24	ENSG00000116133
CHST11	ENSG00000171310
RGS16	ENSG00000143333
CLDN18	ENSG00000066405
ACTR2	ENSG00000138071
ALAD	ENSG00000148218
PTGES3	ENSG00000110958
AMPD2	ENSG00000116337
PSMA6	ENSG00000100902
RAD52	ENSG00000002016
ITGAV	ENSG00000138448
ROS1	ENSG00000047936
EIF4EBP2	ENSG00000148730
HDAC8	ENSG00000147099
ZRSR2	ENSG00000169249
PTPRD	ENSG00000153707
CYP11B2	ENSG00000179142
ERG	ENSG00000157554
GPS2	
PSMA7	ENSG00000101182
ST14	ENSG00000149418
SSU72	ENSG00000160075
GRINA	ENSG00000178719
TF	ENSG00000091513
ETV3	ENSG00000117036
SUMO4	ENSG00000177688
CCKBR	ENSG00000110148
PPY	ENSG00000108849
GAPDHP1	
PSMA1	ENSG00000129084
EFNA4	ENSG00000243364
PLD2	ENSG00000129219
UBE2D1	ENSG00000072401
SMS	ENSG00000102172
MAT1A	ENSG00000151224
UGT1A6	ENSG00000167165
PRIM2	ENSG00000146143
RCSD1	ENSG00000198771
KDM6A	ENSG00000147050
TFPI2	ENSG00000105825
SHROOM2	ENSG00000146950
PSMB2	ENSG00000126067
PFDN4	ENSG00000101132
EBF1	ENSG00000164330
MT-ND4	ENSG00000198886
ACKR1	ENSG00000213088
EIF4E2	ENSG00000135930
SLC5A1	ENSG00000100170
LGR6	ENSG00000133067
NPR1	ENSG00000169418
EPYC	ENSG00000083782
SLC2A4	
CHRNA6	ENSG00000147434
STMN1	ENSG00000117632
ARL2	ENSG00000213465
COL18A1	
MPL	ENSG00000117400
FRA3A	
A12M4	
TLR5	ENSG00000187554
ATXN1L	ENSG00000224470
ZNF816	ENSG00000180257
ENG	ENSG00000106991
CYSLTR1	ENSG00000173198
SCN1B	ENSG00000105711
FRA4A	
HCN4	ENSG00000138622
NCL	ENSG00000115053
SLCO4A1	ENSG00000101187
TRPM5	ENSG00000070985
CFTR	ENSG00000001626
MTTP	ENSG00000138823
PNP	
RTKN2	ENSG00000182010
ABCD1	ENSG00000101986
CPB2	ENSG00000080618
BBS4	ENSG00000140463
HIPK4	ENSG00000160396
GLI1	ENSG00000111087
SOS1	ENSG00000115904
TEX28	ENSG00000278057
ERF	ENSG00000105722
AARS1	ENSG00000090861
METAP1	ENSG00000164024
DTX1	ENSG00000135144
EEF1A2	ENSG00000101210
BFSP1	ENSG00000125864
CALM1	ENSG00000198668
BMPR2	ENSG00000204217
COX7A2P2	
SGK2	ENSG00000101049
CHR	
GYG1	ENSG00000163754
GAPVD1	ENSG00000165219
ERVT3	
RALBP1	ENSG00000017797
COQ8B	ENSG00000123815
SMTN	ENSG00000183963
FFAR3	ENSG00000185897
MKNK2	ENSG00000099875
GPM6B	ENSG00000046653
SLC12A8	ENSG00000221955
ACRV1	ENSG00000134940
TSC2	ENSG00000103197
AR	ENSG00000169083
HTR3A	ENSG00000166736
NLRP1	ENSG00000091592
BPI	ENSG00000101425
CDK20	ENSG00000156345
POMT2	ENSG00000009830
COL22A1	ENSG00000169436
ADRA1B	ENSG00000170214
COX11	ENSG00000166260
HSPD1	ENSG00000144381
GSM1	
PZP	ENSG00000126838
SLC39A6	ENSG00000141424
KCNK18	ENSG00000186795
CHKB	ENSG00000100288
BLMH	ENSG00000108578
PDHX	ENSG00000110435
HLA-DRB4	
SLC36A2	ENSG00000186335
TAC1	ENSG00000006128
FSIP1	ENSG00000150667
ATRX	ENSG00000085224
PADI1	
CAMK1	ENSG00000134072
RPL5	ENSG00000122406
SLC22A8	ENSG00000149452
HELLS	ENSG00000119969
CSH1	ENSG00000136488
DDHD1	ENSG00000100523
PRDM1	ENSG00000057657
ZNF804A	ENSG00000170396
RIPK2	ENSG00000104312
ADSS2	ENSG00000035687
NIPAL2	ENSG00000104361
GBA1LP	ENSG00000160766
AOX1	ENSG00000138356
SAG	
GLDC	ENSG00000178445
CUX1	ENSG00000257923
DSP	ENSG00000096696
IFNA14	ENSG00000228083
GAPDH	ENSG00000111640
PTMA	ENSG00000187514
RPL34	ENSG00000109475
STK16	ENSG00000115661
TBL1X	ENSG00000101849
NAMPT	ENSG00000105835
ACTL6A	ENSG00000136518
XRCC3	ENSG00000126215
ENSA	ENSG00000143420
SRI	ENSG00000075142
COL6A5	ENSG00000172752
TREML4	ENSG00000188056
GHRL	ENSG00000157017
AKR1C4	ENSG00000198610
KLRC1	ENSG00000134545
CCR4	ENSG00000183813
TNNC2	ENSG00000101470
PDE3A	ENSG00000172572
LCK	ENSG00000182866
CA1	ENSG00000133742
A12M1	
ATF6B	
KCNG2	ENSG00000178342
PDK3	ENSG00000067992
CEACAM6	ENSG00000086548
ICAM2	ENSG00000108622
FASLG	ENSG00000117560
RPS29	ENSG00000213741
APOD	ENSG00000189058
CYTH2	ENSG00000105443
S100A10	ENSG00000197747
PSORS1C1	
NSUN3	ENSG00000178694
ALDH7A1P2	ENSG00000232292
COL28A1	ENSG00000215018
AZF2	
CD55	ENSG00000196352
FUT4	ENSG00000196371
KCNB1	ENSG00000158445
SGPP1	
APOBEC1	ENSG00000111701
TMSB10	ENSG00000034510
C1S	ENSG00000182326
AQP3	ENSG00000165272
ATAT1	
EMP3	ENSG00000142227
TWIST1	ENSG00000122691
SLC28A1	ENSG00000156222
F12	ENSG00000131187
FOXP3	ENSG00000049768
SLC22A16	ENSG00000004809
IL12RB1	ENSG00000096996
OSGIN2	ENSG00000164823
ATP5MC2P1	
HSP90B1	ENSG00000166598
ICAM1	ENSG00000090339
CACNB1	ENSG00000067191
NDUFB5	ENSG00000136521
GTF2I	ENSG00000263001
EPHA4	ENSG00000116106
F10	ENSG00000126218
PSORS1C3	
CCND1	ENSG00000110092
PDE4B	ENSG00000184588
XRCC1	ENSG00000073050
LEPR	ENSG00000116678
CPD	ENSG00000108582
CES1	
RPS10	ENSG00000124614
SCN7A	ENSG00000136546
RPS6KA2	ENSG00000071242
TREM1	ENSG00000124731
STX11	ENSG00000135604
IL6ST	ENSG00000134352
SDHB	ENSG00000117118
NCF1	ENSG00000158517
CD2	ENSG00000116824
CRP	ENSG00000132693
IL13RA2	ENSG00000123496
ANCR	
SLC22A2	ENSG00000112499
DAG1	ENSG00000173402
TNK2	ENSG00000061938
IFNA16	ENSG00000147885
FOLH1	ENSG00000086205
DHRS9	ENSG00000073737
PPP2R2A	ENSG00000221914
PCSK5	ENSG00000099139
PRL	ENSG00000172179
MC4R	ENSG00000166603
PAX5	ENSG00000196092
STK10	ENSG00000072786
CA2	ENSG00000104267
KRTAP10-4	ENSG00000215454
IRF1	ENSG00000125347
GEM	ENSG00000164949
QPRT	ENSG00000103485
FOXA3	ENSG00000170608
IL2RA	ENSG00000134460
IL17A	ENSG00000112115
NGF	ENSG00000134259
SEPTIN3	ENSG00000100167
LPAR4	ENSG00000147145
SERPINA1	
PSMC1P1	ENSG00000241506
PARP2	
ACTG1P8	
GPX1	ENSG00000233276
DYRK2	ENSG00000127334
GDF15	ENSG00000130513
CUL4A	ENSG00000139842
RRM1	ENSG00000167325
TCF7L2	ENSG00000148737
KCNK3	ENSG00000171303
NPR2	ENSG00000159899
IL23R	ENSG00000162594
SLC25A31	ENSG00000151475
FBN1	ENSG00000166147
ASS1P8	
NMUR1	ENSG00000171596
VAC14	ENSG00000103043
YAP1	ENSG00000137693
LAMB3	ENSG00000196878
SORCS2	ENSG00000184985
KCNQ1	
CHKA	ENSG00000110721
ERRFI1	ENSG00000116285
EPHB4	ENSG00000196411
CDKN2D	ENSG00000129355
ATG4B	ENSG00000168397
BYSL	ENSG00000112578
SLC2A3	ENSG00000059804
MADCAM1	ENSG00000099866
RBL1	ENSG00000080839
PPP1R3A	ENSG00000154415
A12M2	
MAP3K9	ENSG00000006432
GPX5	
PDCD4	ENSG00000150593
GLRA2	ENSG00000101958
FRA8F	
MDGA2	ENSG00000139915
NUDT2	ENSG00000164978
SUMO1	ENSG00000116030
ADAM10	ENSG00000137845
MST1R	ENSG00000164078
FRA13C	
HSPA4	ENSG00000170606
PPP1R1B	ENSG00000131771
GPR84	ENSG00000139572
BHLHE40	ENSG00000134107
NDUFS3	ENSG00000213619
TNFSF10	ENSG00000121858
SYNE2	ENSG00000054654
FTH1P1	
ERAP2	ENSG00000164308
FASTKD3	ENSG00000124279
SLC25A20	ENSG00000178537
CSTF3	ENSG00000176102
CYB5R2	ENSG00000166394
MARCHF8	
IL16	ENSG00000172349
ELN	ENSG00000049540
CDKL5	ENSG00000008086
AMPH	ENSG00000078053
ATP2B3	ENSG00000067842
ACADM	ENSG00000117054
CHN2	ENSG00000106069
CCNH	ENSG00000134480
CXCR2	ENSG00000180871
MGAT4A	ENSG00000071073
FOLR3	ENSG00000110203
C2	
XCR1	ENSG00000173578
GMNN	ENSG00000112312
CDH15	ENSG00000129910
RAB9A	ENSG00000123595
BAK1P1	
KDM1A	ENSG00000004487
MTNR1A	ENSG00000168412
CNTN5	ENSG00000149972
SCNN1G	ENSG00000166828
KCNA4	ENSG00000182255
CDKN2A	ENSG00000147889
ACTG1P1	
ACSS3	ENSG00000111058
DBH	ENSG00000123454
CR2	ENSG00000117322
SLC47A1	ENSG00000142494
SPINT1	ENSG00000166145
FLI1	ENSG00000151702
KCNQ3	ENSG00000184156
PON2	ENSG00000105854
ACVR2B	ENSG00000114739
RPL22	ENSG00000116251
SLC26A9	ENSG00000174502
TUBB8	ENSG00000261456
LINC00273	ENSG00000256642
EIF2AK1	ENSG00000086232
CTH	ENSG00000116761
EPHA2	ENSG00000142627
CCR5	ENSG00000160791
BMP1	ENSG00000168487
GMFA	
CLNK	ENSG00000109684
GADD45A	ENSG00000116717
FCER1A	
ATP5F1D	ENSG00000099624
IFNL1	
GRM3	ENSG00000198822
ACAA1	ENSG00000060971
PSMB4	ENSG00000159377
CHD4	ENSG00000111642
ALDH3A2	ENSG00000072210
DAPK1	ENSG00000196730
PDPK1	ENSG00000140992
SERPINB1	ENSG00000021355
SACM1L	ENSG00000211456
CLN8	
BIK	ENSG00000100290
RPS25	
TRPV6	
IRF2	ENSG00000168310
PCNA	ENSG00000132646
TRIB2	ENSG00000071575
DEFB4A	
UBE2I	ENSG00000103275
TYRO3	ENSG00000092445
KCNA6	ENSG00000151079
CERS6	ENSG00000172292
DARS1	ENSG00000115866
LIG3	ENSG00000005156
PKD2	ENSG00000118762
SLIT1	ENSG00000187122
EIF2B1	ENSG00000111361
NDUFA11	
NDUFC2	ENSG00000151366
YEATS4	ENSG00000127337
NRIP1	ENSG00000180530
ZNF134	ENSG00000213762
DDX6	ENSG00000110367
DLK1	ENSG00000185559
BCAT2	ENSG00000105552
EIF2AK4	ENSG00000128829
MBOAT4	ENSG00000177669
LAMC1	ENSG00000135862
ARSF	ENSG00000062096
CYB561	ENSG00000008283
PDIA2	ENSG00000185615
COMT	ENSG00000093010
PLK2	ENSG00000145632
RORB	ENSG00000198963
CRYGA	ENSG00000168582
RPS6KA4	ENSG00000162302
CSNK1G3	ENSG00000151292
HPN	ENSG00000105707
ACY3	ENSG00000132744
F11	ENSG00000088926
VEGFA	ENSG00000112715
ENO1P1	ENSG00000244457
NR4A2	ENSG00000153234
KCNG1	ENSG00000026559
NTF4	ENSG00000225950
PDHA2	ENSG00000163114
RPL12	ENSG00000197958
ATP5MC1	ENSG00000159199
MS4A3	
ZNF613	ENSG00000176024
RIMS1	ENSG00000079841
GPR31	ENSG00000120436
MOBP	ENSG00000168314
ATP5PB	ENSG00000116459
FRA9D	
FUT3	
ZMAT4	ENSG00000165061
EPOR	ENSG00000187266
PIM1	ENSG00000137193
SLC6A2	ENSG00000103546
BLOC1S6	ENSG00000104164
TSPYL2	ENSG00000184205
PAK5	ENSG00000101349
APAF1	ENSG00000120868
FTCDNL1	ENSG00000226124
SRD5A1	ENSG00000145545
GLC3B	
RPL37	ENSG00000145592
FKBP1AP3	
TUBB2B	ENSG00000137285
FRA1G	
HSP90AB1	ENSG00000096384
TUBB4B	ENSG00000188229
MAP2K3	ENSG00000034152
NPTX2	ENSG00000106236
TACR1	ENSG00000115353
CISH	ENSG00000114737
SDF4	ENSG00000078808
CHRNG	ENSG00000196811
NAT2	ENSG00000156006
SRPRB	ENSG00000144867
ATP2A2	ENSG00000174437
ATP5F1BP1	ENSG00000231635
TNFRSF12A	ENSG00000006327
EGR1	ENSG00000120738
COX10	ENSG00000006695
PADI4	
CD79A	ENSG00000105369
KCNN3	ENSG00000143603
TMEM258	ENSG00000134825
PLA2G3	ENSG00000100078
ACVR1	ENSG00000115170
TAP1	
SERPINA6	
ADRA2A	ENSG00000150594
KCNQ4	ENSG00000117013
GPD2	ENSG00000115159
GRIN2C	ENSG00000161509
IL27	ENSG00000197272
ADK	ENSG00000156110
SH2B3	ENSG00000111252
NPTN	ENSG00000156642
PIM3	ENSG00000198355
ERVK-10	
NDUFS1	
APOBEC3G	ENSG00000239713
GCNT2	
STIM1	ENSG00000167323
PI3	ENSG00000124102
TRPV3	ENSG00000167723
MED12L	ENSG00000144893
DRD5	ENSG00000169676
GPR183	ENSG00000169508
FST	ENSG00000134363
MMP3	ENSG00000149968
PGD	ENSG00000142657
KLK1	ENSG00000167748
SSTR4	ENSG00000132671
CYP3A5	ENSG00000106258
RPS14	ENSG00000164587
ORM2	ENSG00000228278
ABCC2	ENSG00000023839
UGT2B10	
AIFM1	ENSG00000156709
HSPB2	ENSG00000170276
ANXA1	ENSG00000135046
PSMC3	ENSG00000165916
EFNA3	ENSG00000143590
H19	
PTGS2	ENSG00000073756
H2AZ1	ENSG00000164032
HOXD10	ENSG00000128710
ADH5	ENSG00000197894
PGA3	ENSG00000229859
PSMD5	ENSG00000095261
MT-ND6	ENSG00000198695
CDK8	ENSG00000132964
SLAMF6	ENSG00000162739
LAT	ENSG00000213658
AKR1C2	ENSG00000151632
DGAT1	
NME2	ENSG00000243678
PRKAG2	ENSG00000106617
KLK2	ENSG00000167751
EWSR1	ENSG00000182944
ONECUT1	ENSG00000169856
NDUFB2	ENSG00000090266
NDUFA4L2	
ADH4	ENSG00000198099
HUS1	ENSG00000136273
FABP4	ENSG00000170323
L1CAM	ENSG00000198910
AK2	ENSG00000004455
EEF1A1	ENSG00000156508
TLX1	ENSG00000107807
JAK3	ENSG00000105639
SLC22A1	ENSG00000175003
PLEKHJ1	ENSG00000104886
GATA3	ENSG00000107485
EPHA10	ENSG00000183317
TUBA4A	ENSG00000127824
AIRE	ENSG00000160224
NDUFS2	ENSG00000158864
GFPT1	ENSG00000198380
RB1	ENSG00000139687
IGFBP1	ENSG00000146678
GM2A	ENSG00000196743
AMY2B	ENSG00000240038
GABRA5	ENSG00000186297
MLANA	ENSG00000120215
APLP1	ENSG00000105290
PRORP	ENSG00000100890
ANKRD30B	ENSG00000180777
PIK3CG	ENSG00000105851
NDUFB10	
RNASE1	ENSG00000129538
GUSM	
APPL1	ENSG00000157500
AVPR1B	ENSG00000198049
PPP2R5D	ENSG00000112640
EYA1	ENSG00000104313
SLC24A4	ENSG00000140090
DLX3	ENSG00000064195
ABI1	ENSG00000136754
OPRM1	ENSG00000112038
ASNSP2	
MAGEC2	ENSG00000046774
CETP	ENSG00000087237
SLC22A6	ENSG00000197901
BUB1B	ENSG00000156970
CTNNA2	ENSG00000066032
CALR	ENSG00000179218
CRMP1	ENSG00000072832
UBA3	ENSG00000144744
ACTBP6	
SCN4B	ENSG00000177098
GTF2IP1	ENSG00000277053
STK36	ENSG00000163482
IFNAR1	ENSG00000142166
PRKACA	
IL6	ENSG00000136244
ANXA4	ENSG00000196975
CST3	ENSG00000101439
HPE1	
NNMT	ENSG00000166741
LRRC32	ENSG00000137507
RPL6	ENSG00000089009
GLC1B	
CDC5L	ENSG00000096401
LTA4H	ENSG00000111144
RPS28	ENSG00000233927
DEFA1	
HSD17B3	ENSG00000130948
COL2A1	ENSG00000139219
CASP12	
IFNA10	ENSG00000186803
MCPH1	ENSG00000147316
KIR2DL3	
ACTBP2	
RPL10A	ENSG00000198755
CAPN5	ENSG00000149260
GRM2	ENSG00000164082
CYP1A1	ENSG00000140465
HERC2	
CTBP1	ENSG00000159692
CDKN1A	ENSG00000124762
PGC	ENSG00000096088
BCL7A	ENSG00000110987
SERPINC1	ENSG00000117601
CDH17	ENSG00000079112
SMAD3	ENSG00000166949
APBA2	
ERCC5	ENSG00000134899
KRT19	ENSG00000171345
MT-CO2	ENSG00000198712
APOBEC3A	
FLG	ENSG00000143631
PDGFD	ENSG00000170962
FMO5	ENSG00000131781
PSMD4P1	
CYP3A7	ENSG00000160870
KLF9	ENSG00000119138
FTH1P3	
